ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_if,score_if
2026-04-21 14:20:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,-8.0,-1.6,2.8809720581774987,4.14192655120202,159.6,68.0,0,0,0.4226182617406995,-0.9063077870366499,0.7818314824680298,-16.0,4.725085902034811,0.0,1.258496935596777,-1.1151515151515077,1,-1,0.6971491699246782
2026-04-21 14:20:30+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-1.3,3.507135583349963,4.228212125446765,158.6,68.0,0,0,0.4226182617406995,-0.9063077870366499,0.7818314824680298,-16.0,5.262751345459618,0.0,1.2371666278839875,-1.1454545454545402,1,-1,0.6728997229101742
2026-04-21 14:21:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-1.0,3.714835124201272,4.38304815295347,157.6,68.0,0,0,0.4186597375374284,-0.9081431738250811,0.7818314824680298,-16.0,5.698961389546297,0.0,1.2163589280211797,-1.2181818181818156,1,-1,0.671537008934993
2026-04-21 14:21:30+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-1.4,3.5777087639995897,3.33499958354128,156.6,68.0,0,0,0.4186597375374284,-0.9081431738250811,0.7818314824680298,-16.0,6.055680338972285,0.0,1.1960465083029546,-0.9030303030302987,1,-1,0.6674681304755281
2026-04-21 14:22:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.7,0.0,3.299831645537007,155.0,68.0,1,30,0.4146932426562392,-0.9099612708765431,0.7818314824680298,-16.0,6.34632665949091,30.0,1.1762038630088962,-0.88484848484848,1,-1,0.5967196523412646
2026-04-21 14:22:30+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.7,0.0,3.0930028559096985,155.0,68.0,1,60,0.4146932426562392,-0.9099612708765431,0.7818314824680298,-16.0,6.579662151128143,60.0,1.1568071490057994,-0.7818181818181814,1,-1,0.5947686127927093
2026-04-21 14:23:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.5,0.0,3.011090610836172,155.0,68.0,1,90,0.41071885261347724,-0.9117620435770886,0.7818314824680298,-16.0,6.76162260333161,90.0,1.1378340428189473,-0.7272727272727331,1,-1,0.5907118976513365
2026-04-21 14:23:30+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.5,0.0,2.830390628713712,155.0,68.0,1,120,0.41071885261347724,-0.9117620435770886,0.7818314824680298,-16.0,6.896275856551506,120.0,1.1192636121797441,-0.6121212121212027,1,-1,0.5896722007316421
2026-04-21 14:24:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.5,0.0,2.5298221281346027,155.0,68.0,1,150,0.40673664307580043,-0.9135454576426008,0.7818314824680298,-16.0,6.986357806632799,150.0,1.101076200329062,-0.43636363636362824,1,-1,0.5845971691743124
2026-04-21 14:24:30+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,-0.8,0.0,0.0,155.0,68.0,1,180,0.40673664307580043,-0.9135454576426008,0.7818314824680298,-16.0,7.033581190817125,180.0,1.0832533215862659,4.884720784044197e-15,1,-1,0.56214687685854
2026-04-21 14:25:00+00:00,,,0.5,42.299999619999994,6.843,1.0,21.0,155.0,0.0,0.0,0.0,0.0,155.0,68.0,1,210,0.4027466898587373,-0.9153114791194471,0.7818314824680298,-16.0,7.038808676630399,210.0,1.0657775668899463,4.884720784044197e-15,1,-1,0.524812119850976
2026-04-21 19:18:30+00:00,,,0.5,43.900000765,13.685,1.0,22.600000190000003,157.0,2.0,0.2,0.8944271909996124,0.6324555320334629,155.4,2.0,1,17790,-0.7604059656000312,-0.6494480483301834,0.7818314824680298,2.0,0.36514837167366615,17820.0,10.863164056526156,0.10909090909090761,1,-1,0.529413095525444
2026-04-21 19:19:00+00:00,,,0.5,43.900000765,13.685,1.0,22.70000038,157.0,0.0,0.2,1.0954451150100821,0.8432740427113603,155.8,2.0,1,17820,-0.7632324697825289,-0.6461239796429639,0.7818314824680298,2.0,0.5074162634074658,17850.0,7.6490740177995455,0.19393939393939036,1,-1,0.5242776731460536
2026-04-21 19:19:30+00:00,,,0.5,43.900000765,14.663,1.0,22.70000038,157.0,0.0,0.2,1.0954451150100821,0.9660917830790766,156.2,2.0,1,17850,-0.7632324697825289,-0.6461239796429639,0.7818314824680298,2.0,0.6102571532608267,17880.0,6.21892273616821,0.254545454545454,1,-1,0.5325072888252511
2026-04-21 19:20:00+00:00,,,0.5,43.900000765,6.843,1.0,22.70000038,157.0,0.0,0.2,0.8944271909996124,1.0327955589884021,156.6,2.0,1,17880,-0.7660444431189779,-0.6427876096865395,0.7818314824680298,2.0,0.6914918072853591,17910.0,5.362679678337766,0.29090909090908523,1,-1,0.5367685382904204
2026-04-21 22:35:00+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,215.0,58.0,5.8,25.93838853899755,18.34121042897651,168.6,58.0,0,0,-0.9883615104677609,0.15212338618991592,0.7818314824680298,58.0,10.58930277843329,0.0,10.863164057185806,3.1636363636363667,0,-1,0.7532122673778383
2026-04-21 22:35:30+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,158.0,-57.0,0.1,25.830214865540697,18.308771425497337,168.8,1.0,0,0,-0.9883615104677609,0.15212338618991592,0.7818314824680298,1.0,10.58457997907026,0.0,0.09600847935599274,2.5151515151515182,1,-1,0.661053891812102
2026-04-21 22:36:00+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,154.0,-4.0,-0.3,26.20496136230694,18.44029404441375,168.2,-3.0,0,0,-0.9876883405951378,0.15643446504023067,0.7818314824680298,-3.0,10.617920224086218,0.0,-0.653584115391872,1.6363636363636356,1,-1,0.6715612782406004
2026-04-21 22:36:30+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,154.0,0.0,-0.3,26.557484820667778,18.565499664102088,167.6,-3.0,0,0,-0.9876883405951378,0.15643446504023067,0.7818314824680298,-3.0,10.650184823823992,0.0,-0.6477374968469356,0.7939393939393916,1,-1,0.6568541741980057
2026-04-21 22:37:00+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,154.0,0.0,-0.3,26.888659319497496,18.684515276321946,167.0,-3.0,0,0,-0.9869963665602318,0.16074256560382652,0.7818314824680298,-3.0,10.681383525695077,0.0,-0.6419274973215702,-0.012121212121208997,1,-1,0.6429337499645577
2026-04-21 22:37:30+00:00,,,0.5,45.099999235,13.685,1.0,23.29999962,154.0,0.0,-0.3,1.7888543819997054,18.7974584570479,154.8,-3.0,0,0,-0.9869963665602318,0.16074256560382652,0.7818314824680298,-3.0,10.711525643399128,0.0,-0.6361534057242594,-0.7818181818181792,1,-1,0.6156565879978534
2026-04-21 22:38:00+00:00,,,0.5,45.0,13.685,1.0,23.29999962,154.0,0.0,-0.3,0.0,18.904438044485087,154.0,-3.0,1,30,-0.9862856015372315,0.16504760586067693,0.7818314824680298,-3.0,10.740620072427458,30.0,-0.6304145259503592,-1.5151515151515162,1,-1,0.5656531274597795
2026-04-21 22:38:30+00:00,,,0.5,45.0,13.685,1.0,23.29999962,147.0,-7.0,-1.0,3.1304951684996336,19.420493185178206,152.6,-9.699999999999989,0,0,-0.9862856015372315,0.16504760586067693,0.7818314824680298,-10.0,10.941012161881488,0.0,-1.896053662220995,-2.593939393939393,1,-1,0.6867134912862466
2026-04-21 22:39:00+00:00,,,0.5,45.0,13.685,1.0,23.29999962,153.0,6.0,-0.4,3.049590136395307,19.5391345196704,152.4,-1.0,0,0,-0.9855560590580777,0.1693495038490245,0.7818314824680298,-4.0,10.979604917205942,0.0,-0.7815983485140433,-3.2242424242424206,1,-1,0.6582200446156452
2026-04-21 22:39:30+00:00,,,0.5,45.0,13.685,1.0,23.29999962,144.0,-9.0,-1.3,4.615192303685683,20.182775935050227,150.4,-10.0,0,0,-0.9855560590580777,0.1693495038490245,0.7818314824680298,-13.0,11.273047910631991,0.0,-2.359164830773993,-4.296969696969697,1,-1,0.7026726580924157
2026-04-21 22:40:00+00:00,,,0.5,44.900000765,13.685,1.0,23.29999962,147.0,3.0,-6.8,4.301162633521263,4.357624225296286,149.0,-7.0,0,0,-0.984807753012208,0.17364817766693083,0.7818314824680298,-10.0,11.437034017892875,0.0,-1.7812176112454294,-1.181818181818175,1,-1,0.6762098617581909
2026-04-21 22:40:30+00:00,,,0.5,44.900000765,13.685,1.0,23.29999962,143.0,-4.0,-1.5,3.8987177379235316,4.599516882842831,146.8,-11.0,0,0,-0.984807753012208,0.17364817766693083,0.7818314824680298,-14.0,11.728783731320744,0.0,-2.4075179285570183,-1.260606060606064,1,-1,0.6782218948491278
2026-04-21 22:41:00+00:00,,,0.5,44.900000765,13.685,1.0,23.29999962,143.0,0.0,-1.1,4.242640687119236,4.945255863507632,146.0,-10.900000000000006,0,0,-0.984040697646291,0.1779435454738411,0.7818314824680298,-14.0,11.994682729989393,0.0,-2.3317276232594093,-1.4242424242424283,1,-1,0.6671440720238254
2026-04-21 22:41:30+00:00,,,0.5,44.799999619999994,6.843,1.0,23.29999962,143.0,0.0,-1.1,1.7320508075687562,5.006662228138433,144.0,-9.400000000000006,0,0,-0.984040697646291,0.1779435454738411,0.7818314824680298,-14.0,12.236416348648559,0.0,-2.26140705948735,-1.4545454545454508,1,-1,0.6506115164214761
2026-04-21 22:42:00+00:00,,,0.5,44.799999619999994,13.685,1.0,23.29999962,143.0,0.0,-1.1,1.7888543819997154,4.794672969962677,143.8,-4.0,0,0,-0.9832549075639546,0.18223552549214742,0.7818314824680298,-14.0,12.455391668237414,0.0,-2.1958961461157394,-1.351515151515147,1,-1,0.6508316510786203
2026-04-21 22:42:30+00:00,,,0.5,44.799999619999994,13.685,1.0,23.29999962,143.0,0.0,-1.1,0.0,4.26874949162216,143.0,-3.6999999999999886,1,30,-0.9832549075639546,0.18223552549214742,0.7818314824680298,-14.0,12.652790342382133,30.0,-2.1346413319312245,-1.1151515151515081,1,-1,0.5997521772780463
2026-04-21 22:43:00+00:00,,,0.5,44.799999619999994,6.843,1.0,23.29999962,143.0,0.0,-1.1,0.0,3.2812599206203292,143.0,-0.9000000000000057,1,60,-0.9824503977255099,0.18652403600873346,0.7818314824680298,-14.0,12.82960835624827,60.0,-2.0771744299675765,-0.7454545454545453,1,-1,0.5814447031174792
2026-04-21 22:43:30+00:00,,,0.5,44.700000380000006,6.843,1.0,23.29999962,143.0,0.0,-0.4,0.0,3.2403703492043645,143.0,0.0,1,90,-0.9824503977255099,0.18652403600873346,0.7818314824680298,-14.0,12.98668637445706,90.0,-2.0230963718886015,-0.7090909090909042,1,-1,0.5616482767872472
2026-04-21 22:44:00+00:00,,,0.5,44.700000380000006,13.685,1.0,23.29999962,143.0,0.0,-1.0,0.0,1.2692955176452416,143.0,0.0,1,120,-0.9816271834476639,0.1908089953765451,0.7818314824680298,-14.0,13.124733166417451,120.0,-1.972064590434036,-0.22424242424242283,1,-1,0.5519096249929855
2026-04-21 22:44:30+00:00,,,0.5,44.700000380000006,13.685,1.0,23.29999962,143.0,0.0,-0.1,0.0,1.2649110640686279,143.0,0.0,1,150,-0.9816271834476639,0.1908089953765451,0.7818314824680298,-14.0,13.24434383720704,150.0,-1.9237831093044033,-0.21818181818181903,1,-1,0.523749172528245
