ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_lof,score_lof
2026-05-28 18:24:30+00:00,,,1.0,38.5,7.820000172,1.0,19.79999924,148.0,2.0,0.2,0.8944271910013482,0.6324555320251805,146.4,2.0,1,420,-0.587785252292473,-0.8090169943749475,0.43388373911755823,1.0,4.847679857416537,420.0,0.14267103801183856,0.10909090909091257,1,-1,1.9420577929888327
2026-05-28 18:25:00+00:00,,,1.0,38.5,14.66300011,1.0,19.79999924,148.0,0.0,0.2,1.0954451150114994,0.843274042705216,146.8,2.0,1,450,-0.5913096483635824,-0.8064446042674825,0.43388373911755823,1.0,4.833313515615566,450.0,0.1395224930442339,0.19393939393939627,1,-1,1.9582631217458115
2026-05-28 18:30:00+00:00,,,1.0,38.59999847,14.66300011,1.0,19.79999924,148.0,0.0,0.0,0.0,0.0,148.0,2.0,1,750,-0.6087614290087207,-0.7933533402912352,0.43388373911755823,-10.0,2.2651786867147816,750.0,0.10804313714707722,3.011737302976228e-15,1,-1,1.610792792825387
2026-05-28 18:30:30+00:00,,,1.0,38.59999847,7.820000172,1.0,19.79999924,148.0,0.0,0.0,0.0,0.0,148.0,2.0,1,780,-0.6087614290087207,-0.7933533402912352,0.43388373911755823,-10.0,1.008013865980662,780.0,0.10489370683287157,3.011737302976228e-15,1,-1,1.7076976009316058
2026-05-28 18:44:00+00:00,,,1.0,38.5,7.820000172,1.0,19.79999924,146.0,-2.0,-0.2,0.8944271910013482,0.6324555320254064,147.6,0.0,1,1590,-0.656059028990507,-0.7547095802227721,0.43388373911755823,-2.0,0.3651483716599674,1590.0,-0.744040005965947,-0.10909090909090646,1,-1,2.1190182688680252
2026-05-28 18:44:30+00:00,,,1.0,38.5,7.820000172,1.0,19.79999924,146.0,0.0,-0.2,1.0954451150114994,0.8432740427053431,147.2,0.0,1,1620,-0.656059028990507,-0.7547095802227721,0.43388373911755823,-2.0,0.5074162633972357,1620.0,-0.7395186856306978,-0.19393939393939255,1,-1,1.7862398858089463
2026-05-28 18:45:00+00:00,,,1.0,38.5,14.66300011,1.0,19.79999924,146.0,0.0,-0.2,1.0954451150114994,0.9660917830738429,146.8,0.0,1,1650,-0.6593458151000688,-0.7518398074789774,0.43388373911755823,-2.0,0.6102571532520128,1650.0,-0.7350232533543909,-0.2545454545454536,1,-1,1.7405014139811843
2026-05-28 18:45:30+00:00,,,1.0,38.40000153,7.820000172,1.0,19.79999924,146.0,0.0,-0.2,0.8944271910013482,1.0327955589835287,146.4,0.0,1,1680,-0.6593458151000688,-0.7518398074789774,0.43388373911755823,-2.0,0.6914918072773089,1680.0,-0.7305533404469793,-0.2909090909090925,1,-1,1.7988900314003593
2026-05-28 18:46:00+00:00,,,1.0,38.40000153,14.66300011,1.0,19.79999924,146.0,0.0,-0.2,0.0,1.0540925533844312,146.0,0.0,1,1710,-0.6626200482157372,-0.7489557207890024,0.43388373911755823,-2.0,0.7580980435729773,1710.0,-0.72610858483754,-0.30303030303030226,1,-1,1.7946017317198906
2026-05-28 18:46:30+00:00,,,1.0,38.40000153,14.66300011,1.0,19.79999924,146.0,0.0,-0.2,0.0,1.0327955589834952,146.0,0.0,1,1740,-0.6626200482157372,-0.7489557207890024,0.43388373911755823,-2.0,0.8136762043392097,1740.0,-0.7216886309154361,-0.2909090909090877,1,-1,1.7644255909525417
